"Longitude","Latitude"
-98.915101,18.748925
-98.903732,19.664774
-98.889265,19.497544
-98.885558,19.420049
-98.879653,19.101375
-98.878159,19.468475
-98.874144,19.478317
-98.841163,19.707231
-98.63744,29.52269
-98.537003,17.571088
-98.491882,29.42834
-98.46955,18.857862
-98.263823,19.151718
-98.260769,26.198992
-98.240248,19.031749
-98.23555,19.247063
-98.208248,19.342999
-98.203441,19.021542
-98.173333,18.756944
-98.040967,20.179742
-97.914244,26.13574
-97.683729,28.622692
-97.661608,26.22331
-97.500801,25.885164
-97.489877,25.948685
-97.48679,25.848685
-97.440214,18.554275
-97.405802,18.461443
-97.375722,27.7092
-97.344195,27.668081
-97.331677,27.693242
-97.299942,27.673742
-97.221737,27.60157
-97.209454,27.608848
-97.20597,26.065976
-97.11565,27.759633
-97.087647,15.864206
-97.074641,27.811283
-97.064742,27.818143
-97.051764,15.84653
-96.756968,17.197443
-96.711306,16.948455
-96.518997,17.034403
-96.479436,16.955319
-95.26832,29.686244
-95.154766,29.630435
-95.117931,29.601208
-94.848335,29.272778
-94.116444,30.085981
-93.178,44.7316
-92.548055,17.952778
-92.3275,38.94583
-90.440836,14.464388
-89.812858,21.252525
-89.613623,21.293096
-89.608333,21.091667
-89.4291,21.32465
-89.327766,13.486768
-88.898948,13.728372
-88.777864,14.767668
-88.356942,16.589138
-88.233731,14.918522
-87.393147,14.251407
-87.053878,14.125506
-86.993423,20.443863
-86.97286,14.007039
-86.173596,12.046774
-82.825322,27.875721
-82.79,27.8
-82.7873,27.9095
-82.773521,27.77322
-82.76107,27.747803
-82.713298,27.869262
-82.664025,27.72803
-82.635624,27.77203
-82.627704,27.789026
-82.613128,27.791655
-82.5748,27.4989
-82.567625,27.300733
-82.552772,27.359997
-82.549633,27.341942
-82.541412,27.260986
-82.536863,27.334078
-82.531502,27.247187
-82.527559,27.276557
-82.518584,27.226102
-82.50157,27.226643
-82.498207,27.203781
-82.486908,27.228003
-82.484938,27.180353
-82.4845,27.9269
-82.480653,27.150053
-82.475889,27.139545
-82.4686,27.3117
-82.456586,27.091424
-82.453381,27.105939
-82.446869,27.08395
-82.419762,28.035622
-82.409637,27.061108
-82.4026,27.0153
-82.373581,27.772129
-82.368538,26.964113
-82.330525,26.916156
-82.300149,26.92889
-82.191321,26.51849
-82.111512,26.443397
-82.071549,27.011936
-82.067752,26.438242
-82.060748,26.765252
-82.056802,27.018422
-81.9753,28.227378
-81.967626,26.984064
-81.918434,26.544441
-81.877616,26.666692
-81.8333,26.3833
-81.81582,26.195913
-81.80903,26.295324
-81.808097,26.149331
-81.806118,26.34282
-81.7985,24.547897
-81.79481,26.142024
-81.788544,26.16872
-81.743124,26.685149
-81.562455,28.355633
-81.537324,27.82175
-81.477588,27.61095
-81.472016,28.473572
-81.467842,26.738688
-81.398872,28.470353
-81.361212,28.489502
-81.231423,28.986318
-81.075393,24.720479
-80.905172,29.056278
-80.845347,28.959413
-80.823563,28.927995
-80.694084,28.154051
-80.686409,28.146591
-80.623353,27.911485
-80.609787,28.344867
-80.607689,28.335805
-80.604767,28.356388
-80.601517,28.372864
-80.597778,28.388138
-80.587759,28.168197
-80.578012,28.130722
-80.574708,26.999145
-80.562767,28.074997
-80.54632,28.044878
-80.513778,27.977886
-80.50375,25.616009
-80.492996,25.533942
-80.478735,25.576622
-80.4456,27.3809
-80.444383,25.500813
-80.401619,25.608387
-80.344445,27.611155
-80.332742,27.589036
-80.3106,25.6151
-80.30285,27.495072
-80.291337,25.674509
-80.290134,26.166969
-80.252196,26.311975
-80.251992,27.185847
-80.242928,27.190167
-80.240842,25.726453
-80.181817,25.845838
-80.170371,26.387025
-80.156561,26.428888
-80.132797,26.455867
-80.123958,26.588598
-80.122125,27.055314
-80.120517,26.398825
-80.116103,26.38653
-80.114509,26.357002
-80.110475,26.984895
-80.1,8.375
-80.0942,26.9342
-80.090782,26.384375
-80.072967,26.5687
-80.06154,26.441549
-80.050683,26.678803
-80.046883,26.613428
-78.675055,26.537138
-78.451073,-0.330163
-77.95,24.4333
-76.985719,-12.217399
-76.797838,-12.363613
-76.773218,-12.39995
-76.516667,3.45
-76.156055,24.86437
-75.962533,23.615457
-75.615967,6.2504
-75.598611,6.263056
-74.850731,11.019974
-74.806981,11.004107
-74.750506,9.232636
-74.026532,4.742602
-72.232168,21.785495
-72.181503,21.794748
-71.910869,-17.098578
-70.119638,18.43741
-66.297493,17.96129
-66.163059,18.118574
-66.019673,18.443862
-65.784027,18.295788
-65.47563,18.103851
-64.86841,18.344874
-64.85015,18.334523
-64.807258,17.777788
-64.719138,17.752947
-64.712912,32.366988
-64.709555,32.349267
-62.580002,17.200001
-61.374498,10.403933
-47.086761,-22.863721
-25.313847,37.770355
-16.242159,28.478367
-15.432701,28.151518
-15.422401,28.143448
-13.935814,28.679142
-9.614277,30.424334
-9.598107,30.427727
-8.384747,33.282623
-7.984989,31.608187
-7.926475,37.014471
-7.75873,31.347459
-7.624941,37.121025
-7.573042,33.223055
-6.174093,36.490784
-6.149856,36.688888
-4.978694,34.061329
-4.429,36.763
-4.413095,36.716492
-3.652401,36.746393
-2.730088,34.94028
-2.462528,36.835475
-2.458006,36.84385
-2.404579,36.829468
-1.900155,34.681962
-0.765171,37.873394
1.424209,38.905481
2.124619,41.39976
2.81338,41.686763
3.83833,7.38
4.871648,51.678711
9.255253,36.457574
14.353799,35.965086
14.417855,35.953722
18.345406,-34.141514
18.355435,-34.02105
18.363045,-34.183687
18.365613,-34.01495
18.36981,-34.025552
18.37527,-34.194311
18.376278,-33.94113
18.380618,-33.956853
18.381837,-34.201528
18.381963,40.050708
18.382825,-34.118268
18.388687,-33.964617
18.390126,-34.137224
18.393203,-34.12807
18.394249,-33.942058
18.397304,-33.978594
18.401685,-34.122036
18.40286,-33.917228
18.403078,-33.948205
18.405664,-33.933919
18.40793,-34.22042
18.41151,-34.126993
18.415528,-33.942953
18.41642,-34.236407
18.417141,-34.0303
18.420891,-34.135179
18.42295,-33.910557
18.425159,-33.919861
18.425563,-33.966825
18.425932,-34.188594
18.428822,-34.076897
18.429654,-33.988142
18.431129,-33.931731
18.431233,-34.140721
18.431254,-34.024708
18.431888,-33.941001
18.432014,-34.159851
18.437016,-34.19368
18.437521,-34.060627
18.439667,-34.035772
18.442163,-33.72613
18.442838,-33.986622
18.445717,-34.085144
18.445921,-33.975275
18.446432,-34.025909
18.447849,-34.048603
18.449875,-34.314665
